clipped_smiles	ID
Cc1c(C([15CH3])=O)[nH]c2ccc(Cl)cc12	EN300-100360
Cc1c(C([15CH3])=O)[nH]c2ccc(F)cc12	EN300-100364
[15CH3]C(=O)c1cc2ccccc2cc1Cl	EN300-100373
CC(C)C(C([15CH3])=O)c1cccc(Cl)c1	EN300-100395
CCC(Oc1cccc(C)c1)C([15CH3])=O	EN300-100419
COC(C)c1ncc(C([15CH3])=O)s1	EN300-100438
[15CH3]C(=O)c1ccc(-c2cccs2)cc1	EN300-100457
[15CH3]C(=O)Cn1ccnn1	EN300-100467
CC1(C([15CH3])=O)CCC1	EN300-100478
CC[C@@H](C)C([15CH3])=O	EN300-100504
Cc1ccc(CN(C)CC([15CH3])=O)cc1	EN300-10053225
CN(CC([15CH3])=O)Cc1cccc(Cl)c1	EN300-10053562
CN(CC([15CH3])=O)Cc1ccccc1Cl	EN300-10053565
CN(CC([15CH3])=O)Cc1ccccc1F	EN300-10053566
COc1ccc2oc(C([15CH3])=O)cc2c1	EN300-100582
Cc1cc(COCC([15CH3])=O)on1	EN300-100586
COCC(C)(N)C([15CH3])=O	EN300-100589
[15CH3]C(=O)CCC1CCC1	EN300-100591
CC1c2ccccc2CC1C([15CH3])=O	EN300-100609
[15CH3]C(=O)Cc1ccc(F)cc1F	EN300-100639
[15CH3]C(=O)Cc1ccc(F)c(F)c1	EN300-100640
CCOC(=O)C1(CC([15CH3])=O)CCC1	EN300-100641
[15CH3]C(=O)Cc1c(F)cccc1F	EN300-100653
[15CH3]C(=O)Cc1cccc(F)c1F	EN300-100654
Cc1cccc(CC([15CH3])=O)c1C	EN300-100657
Cc1ccc(F)cc1CC([15CH3])=O	EN300-100658
COc1ccc2cc(C([15CH3])=O)oc2c1	EN300-100670
Cc1nc(C([15CH3])=O)ccc1C(F)(F)F	EN300-100672
[15CH3]C(=O)C1CCc2cc(F)ccc2O1	EN300-100683
COc1ccccc1C(O)C([15CH3])=O	EN300-100688
CC(=O)N1CCOC(C([15CH3])=O)C1	EN300-100689
CCCOc1ccc(Cl)cc1C([15CH3])=O	EN300-100720
CC(C([15CH3])=O)C1CCCC1	EN300-100726
[15CH3]C(=O)c1nc[nH]n1	EN300-100741
CC1(C([15CH3])=O)CCCO1	EN300-100748
[15CH3]C(=O)c1coc(Br)n1	EN300-100749
[15CH3]C(=O)Cc1cncs1	EN300-100763
[15CH3]C(=O)C(N)c1cccs1	EN300-100775
COc1ccc(CC([15CH3])=O)c(C)c1	EN300-100778
CCC(C)C(O)C([15CH3])=O	EN300-100780
Cc1nc(CC(C)C)c(C([15CH3])=O)s1	EN300-100814
CS(=O)(=O)c1ccc(Cl)c(C([15CH3])=O)c1	EN300-10082
CS(=O)(=O)c1cccc(C([15CH3])=O)c1	EN300-10083
CCS(=O)(=O)N(C)CC([15CH3])=O	EN300-100830
[15CH3]C(=O)CC=Cc1cccc(F)c1	EN300-100831
[15CH3]C(=O)CC(O)c1ccc(F)cc1	EN300-100833
COC(=O)C1CCC(C([15CH3])=O)C1	EN300-100851
CCC(Oc1ccccc1C)C([15CH3])=O	EN300-100861
COC(=O)[C@H]1CC[C@@H](C([15CH3])=O)C1	EN300-100866
CCC1(C([15CH3])=O)CC1	EN300-100871
[15CH3]C(=O)c1ccc(F)cc1OC(F)F	EN300-100874
COc1cc(F)cc(C([15CH3])=O)c1	EN300-100903
[15CH3]C(=O)Cn1nccn1	EN300-100916
