smiles,ID,rb,mw,heavy,chiral,hba,hbd,het_count,rings,rac,clogp,qed,rb_MPO,mw_MPO,heavy_MPO,het_count_MPO,hba_MPO,hbd_MPO,rac_MPO,rings_MPO,MPO
CC(C)(C)OC(=O)N[C@@H](CN)C(O)=O,EN300-246237,3.0,204.22599999999997,14.0,1.0,4.0,3.0,6.0,0.0,0.0,-0.07699999999999907,0.5965789312550966,0.7,0.3990583333333335,0.4,0.0,0.0,0.33333333333333337,1.0,0.8572439828530728,0.5339983931655055
OC(=O)c1nn2ccccc2c1Br,EN300-246257,1.0,241.04399999999998,13.0,0.0,3.0,1.0,5.0,2.0,0.0,1.795,0.8275089014025967,0.9,0.24565000000000003,0.4666666666666667,0.0,0.5,1.0,1.0,0.8572439828530728,0.35988956963609375
OC(=O)C1CCCC1C(F)(F)F,EN300-246268,1.0,182.141,12.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0496,0.6733386338574762,0.9,0.49107916666666673,0.5333333333333333,0.0,1.0,1.0,0.0,1.0,0.37359852941176463
CC(C)(C1CCC1)C(O)=O,EN300-246319,2.0,142.198,10.0,0.0,1.0,1.0,2.0,1.0,0.0,1.8973,0.6389345397939103,0.8,0.6575083333333334,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,0.1265676470588235
CC1NCCCC1CC(O)=O,EN300-246325,2.0,157.213,11.0,2.0,2.0,2.0,3.0,1.0,2.0,0.8492,0.6244001441276849,0.8,0.5949458333333333,0.6,0.5,1.0,0.6666666666666667,0.0,1.0,0.3574573529411764
O[C@@H]1C[C@@H](Oc2ccccc12)C(O)=O,EN300-246356,1.0,194.18599999999998,14.0,2.0,3.0,2.0,4.0,2.0,0.0,0.9557,0.6982149056323196,0.9,0.4408916666666668,0.4,0.0,0.5,0.6666666666666667,1.0,0.8572439828530728,0.3839787853223683
OC(=O)C1CC2(C1)CCOCC2,EN300-246399,1.0,170.208,12.0,0.0,2.0,1.0,3.0,2.0,0.0,1.2778,0.6443901987416594,0.9,0.5408,0.5333333333333333,0.5,1.0,1.0,1.0,0.8572439828530728,0.19967584414589779
OC(=O)CC1(O)CCC1,EN300-246423,2.0,130.143,9.0,0.0,2.0,2.0,3.0,1.0,0.0,0.3761,0.567612437947291,0.8,0.7077375,0.7333333333333334,0.5,1.0,0.6666666666666667,1.0,1.0,0.21085441176470587
OC(=O)C1(CC1)n1cncn1,EN300-246440,2.0,153.14100000000002,11.0,0.0,4.0,1.0,5.0,2.0,0.0,-0.1481999999999999,0.6412099481606193,0.8,0.6119124999999999,0.6,0.0,0.0,1.0,1.0,0.8572439828530728,0.38346653042040746
CC(C)(C)OC(=O)NC(CN)C(O)=O,EN300-246445,3.0,204.22599999999997,14.0,1.0,4.0,3.0,6.0,0.0,1.0,-0.07699999999999907,0.5965789312550966,0.7,0.3990583333333335,0.4,0.0,0.0,0.33333333333333337,0.5,0.8572439828530728,0.5928219225772702
OC(=O)c1coc(=O)[nH]1,EN300-246486,1.0,129.071,9.0,0.0,3.0,2.0,5.0,1.0,0.0,-0.33390000000000003,0.5431625655186028,0.9,0.7122041666666667,0.7333333333333334,0.0,0.5,0.6666666666666667,1.0,1.0,0.3044465686274509
Cc1cnc(CCCC(O)=O)o1,EN300-246531,4.0,169.18,12.0,0.0,3.0,1.0,4.0,1.0,0.0,1.39032,0.7392725639632907,0.6,0.5450833333333334,0.5333333333333333,0.0,0.5,1.0,1.0,1.0,0.3790098039215686
CC(O)(C(O)C(O)=O)C(F)(F)F,EN300-246555,2.0,188.10099999999997,12.0,2.0,3.0,3.0,7.0,0.0,2.0,-0.2548000000000001,0.5577323980100033,0.8,0.46624583333333347,0.5333333333333333,0.0,0.5,0.33333333333333337,0.0,0.8572439828530728,0.5457018245380545
COC(=O)N[C@@H](CC(C)C)C(O)=O,EN300-246573,4.0,189.21099999999996,13.0,1.0,3.0,2.0,5.0,0.0,0.0,0.8416999999999999,0.6867532953682166,0.6,0.4616208333333335,0.4666666666666667,0.0,0.5,0.6666666666666667,1.0,0.8572439828530728,0.4442851578713879
Cc1ccc(CC(O)=O)c(Br)c1,EN300-246606,2.0,229.073,12.0,0.0,1.0,1.0,3.0,1.0,0.0,2.38462,0.8447153791500709,0.8,0.2955291666666666,0.5333333333333333,0.5,1.0,1.0,1.0,1.0,0.2436632352941176
NC(C(O)=O)C1(CC1)C(F)(F)F,EN300-246614,2.0,183.12899999999996,12.0,1.0,2.0,2.0,6.0,1.0,1.0,0.7407999999999997,0.6631923105519041,0.8,0.4869625000000002,0.5333333333333333,0.0,1.0,0.6666666666666667,0.5,1.0,0.3780044117647058
OC(=O)CCC1CC1(F)F,EN300-246666,3.0,150.124,10.0,1.0,1.0,1.0,4.0,1.0,1.0,1.5064000000000002,0.6615431973299916,0.7,0.6244833333333333,0.6666666666666667,0.0,1.0,1.0,0.5,1.0,0.3304529411764705
CC(N)(CO)C(O)=O,EN300-246802,2.0,119.11999999999998,8.0,1.0,3.0,3.0,4.0,0.0,1.0,-1.2192999999999998,0.42516719801468134,0.8,0.7536666666666667,0.8,0.0,0.5,0.33333333333333337,0.5,0.8572439828530728,0.4216915304204075
CCC(CC(F)(F)F)C(O)=O,EN300-246832,3.0,170.13000000000002,11.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0496,0.7032609399962979,0.7,0.5411249999999999,0.6,0.0,1.0,1.0,0.5,0.8572439828530728,0.3565003539498194
Cc1nc2ccnn2cc1C(O)=O,EN300-246840,1.0,177.16299999999998,13.0,0.0,4.0,1.0,5.0,2.0,0.0,0.7359199999999999,0.6969747041945802,0.9,0.5118208333333334,0.4666666666666667,0.0,0.0,1.0,1.0,0.8572439828530728,0.3873988833615839
CC(C)(C)N1CCC1C(O)=O,EN300-246857,1.0,157.213,11.0,1.0,2.0,1.0,3.0,1.0,1.0,0.9438000000000002,0.6155801407704055,0.9,0.5949458333333333,0.6,0.5,1.0,1.0,0.5,1.0,0.23588872549019602
OC(=O)C1CCN1C1CCCC1,EN300-246859,2.0,169.224,12.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0878999999999999,0.6722860782871188,0.8,0.5449,0.5333333333333333,0.5,1.0,1.0,0.5,0.8572439828530728,0.2815464323811918
OC(=O)c1cc(on1)C1CC1,EN300-24688,2.0,153.13699999999997,11.0,0.0,3.0,1.0,4.0,2.0,0.0,1.2502,0.6939711114239957,0.8,0.6119291666666669,0.6,0.0,0.5,1.0,1.0,0.8572439828530728,0.32464104022432905
CC(OCc1cncs1)C(O)=O,EN300-246887,4.0,187.21999999999997,12.0,1.0,4.0,1.0,5.0,1.0,1.0,1.1328,0.76725269224297,0.6,0.46991666666666676,0.5333333333333333,0.0,0.0,1.0,0.5,1.0,0.5055
Cc1ccc(F)c(CC(O)=O)c1,EN300-246914,2.0,168.16700000000003,12.0,0.0,1.0,1.0,3.0,1.0,0.0,1.7612199999999998,0.7301046943509459,0.8,0.5493041666666665,0.5333333333333333,0.5,1.0,1.0,1.0,1.0,0.21380735294117648
OC(=O)c1csc2ccccc12,EN300-24693,1.0,178.21200000000002,12.0,0.0,2.0,1.0,3.0,2.0,0.0,2.599500000000001,0.7283170522070755,0.9,0.50745,0.5333333333333333,0.5,1.0,1.0,1.0,0.8572439828530728,0.20359937355766244
OC(=O)c1coc2c(Cl)cccc12,EN300-246990,1.0,196.589,13.0,0.0,2.0,1.0,4.0,2.0,0.0,2.7844000000000007,0.7631338366688624,0.9,0.4308791666666667,0.4666666666666667,0.0,1.0,1.0,1.0,0.8572439828530728,0.2792743735576624
OC(=O)CC1CCC(=O)NC1,EN300-246992,2.0,157.169,11.0,1.0,2.0,2.0,4.0,1.0,1.0,-0.012699999999999878,0.5919479703809325,0.8,0.5951291666666667,0.6,0.0,1.0,0.6666666666666667,0.5,1.0,0.35743578431372547
CN1CC(C1)C(O)=O,EN300-247011,1.0,115.13199999999999,8.0,0.0,2.0,1.0,3.0,1.0,0.0,-0.3674,0.5066843702301673,0.9,0.7702833333333334,0.8,0.5,1.0,1.0,1.0,1.0,0.1329078431372549
OC(=O)[C@@H]1C[C@H]1c1ccccc1Cl,EN300-247012,2.0,196.633,13.0,2.0,1.0,1.0,3.0,2.0,0.0,2.528100000000001,0.7894619485753104,0.8,0.4306958333333333,0.4666666666666667,0.5,1.0,1.0,1.0,0.8572439828530728,0.24400182453805452
CC(C)c1nc(C)ccc1C(O)=O,EN300-247020,2.0,179.21899999999997,13.0,0.0,2.0,1.0,3.0,1.0,0.0,2.21162,0.756776039253458,0.8,0.5032541666666668,0.4666666666666667,0.5,1.0,1.0,1.0,1.0,0.22706813725490194
OC(=O)CC1CCC2CC12,EN300-247050,2.0,140.18200000000002,10.0,3.0,1.0,1.0,2.0,2.0,3.0,1.5072,0.6308156033365621,0.8,0.6659083333333333,0.6666666666666667,1.0,1.0,1.0,0.0,0.8572439828530728,0.25162388336158403
